Unnamed: 0,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender,Id
52,,12,repaid,radio/tv,1262,50.0,3 years,3,single,none,10 months,other,25,none,own,1,0,1,,yes,skilled employee,male,52
53,,18,repaid,car (used),3378,,2 years,2,single,none,,building society savings,31,none,own,1,0,1,2340778348.0,yes,skilled employee,male,53
54,73.0,36,delayed,car (new),2225,31.0,13 years,4,single,none,24 years,unknown/none,57,bank,for free,2,1,1,2341713739.0,yes,skilled employee,male,54
55,,6,fully repaid this bank,car (new),783,,3 years,1,single,guarantor,9 months,real estate,26,stores,own,1,0,2,,yes,unskilled resident,male,55
56,3.0,12,repaid,radio/tv,6468,,,2,single,none,,unknown/none,52,none,own,1,1,1,2349011922.0,yes,mangement self-employed,male,56
57,,36,critical,radio/tv,9566,81.0,1 years,2,,none,8 months,other,31,stores,own,2,0,1,,yes,skilled employee,female,57
58,873.0,18,repaid,car (new),1961,35.0,13 years,3,,none,7 months,other,23,none,own,1,0,1,,yes,mangement self-employed,female,58
59,-50.0,36,critical,furniture,6229,30.0,1 months,4,,co-applicant,15 years,unknown/none,23,none,rent,2,1,1,2341219941.0,yes,unskilled resident,female,59
60,103.0,9,repaid,business,1391,37.0,2 years,2,married,none,,real estate,27,bank,own,1,0,1,2343398051.0,yes,skilled employee,male,60
61,184.0,15,critical,radio/tv,1537,,18 years,4,single,guarantor,11 years,real estate,50,none,own,2,0,1,2348595204.0,yes,skilled employee,male,61
62,155.0,36,fully repaid,business,1953,73.0,18 years,4,single,none,5 years,unknown/none,61,none,for free,1,1,1,2345964296.0,yes,mangement self-employed,male,62
63,69.0,48,fully repaid,business,14421,82.0,2 years,2,single,none,0 months,other,25,none,own,1,1,1,2349541254.0,yes,skilled employee,male,63
64,,24,repaid,radio/tv,3181,16.0,4 months,4,,none,18 years,building society savings,26,none,own,1,0,1,2348508323.0,yes,skilled employee,female,64
65,,27,repaid,repairs,5190,,17 years,4,single,none,19 years,building society savings,48,none,own,4,0,2,2344192892.0,yes,skilled employee,male,65
66,,12,repaid,radio/tv,2171,82.0,3 months,2,,none,8 months,other,29,bank,own,1,0,1,,yes,skilled employee,female,66
67,73.0,12,repaid,car (new),1007,4865.0,3 years,4,married,none,,real estate,22,none,own,1,0,1,,yes,skilled employee,male,67
68,,36,repaid,education,1819,89.0,1 years,4,single,none,22 years,unknown/none,37,stores,for free,1,1,1,2349135239.0,yes,skilled employee,male,68
69,,36,repaid,radio/tv,2394,,2 years,4,,none,13 years,other,25,none,own,1,0,1,,yes,skilled employee,female,69
70,,36,repaid,car (used),8133,54.0,3 years,1,,none,3 months,building society savings,30,bank,own,1,0,1,,yes,skilled employee,female,70
71,,7,critical,radio/tv,730,,9 years,4,single,none,6 months,building society savings,46,none,rent,2,0,1,2342967860.0,yes,unskilled resident,male,71
74,-31.0,36,repaid,education,1977,,7 years,4,single,none,23 years,unknown/none,40,none,own,1,1,1,2343082436.0,yes,mangement self-employed,male,74
75,-17.0,12,critical,car (used),1526,7.0,16 years,4,single,none,20 years,unknown/none,66,none,for free,2,0,1,,yes,mangement self-employed,male,75
76,-16.0,42,repaid,radio/tv,3965,38.0,10 months,4,single,none,3 years,other,34,none,own,1,1,1,,yes,skilled employee,male,76
79,146.0,30,repaid,furniture,3832,38.0,7 months,2,married,none,,building society savings,22,none,own,1,0,1,,yes,skilled employee,male,79
81,,15,repaid,radio/tv,1213,701.0,19 years,4,single,none,3 years,building society savings,47,stores,own,1,0,1,2348884894.0,yes,skilled employee,male,81
83,-13.0,24,repaid,others,1755,29.0,14 years,4,,guarantor,18 years,real estate,58,none,own,1,0,1,2348993166.0,yes,unskilled resident,female,83
84,-24.0,10,repaid,radio/tv,2315,77.0,15 years,3,single,none,13 years,real estate,52,none,own,1,0,1,,yes,unskilled resident,male,84
85,,12,critical,business,1412,93.0,1 years,4,,guarantor,0 months,real estate,29,none,own,2,0,1,2348434531.0,yes,mangement self-employed,female,85
88,-48.0,18,repaid,car (new),2249,326.0,4 years,4,single,none,2 years,other,30,none,own,1,0,2,2347534700.0,yes,mangement self-employed,male,88
89,-36.0,12,fully repaid,repairs,1108,55.0,6 years,4,single,none,1 years,real estate,28,none,own,2,1,1,,yes,skilled employee,male,89
90,,12,critical,radio/tv,618,35.0,8 years,4,single,none,13 years,real estate,56,none,own,1,0,1,,yes,skilled employee,male,90
91,-12.0,12,critical,car (used),1409,11.0,19 years,4,single,none,2 years,real estate,54,none,own,1,0,1,,yes,skilled employee,male,91
93,587.0,24,critical,furniture,3617,,19 years,4,single,co-applicant,20 years,unknown/none,20,none,rent,2,0,1,,yes,skilled employee,male,93
94,153.0,12,repaid,car (new),1318,1836.0,12 years,4,single,none,20 years,real estate,54,none,own,1,0,1,2345372626.0,yes,skilled employee,male,94
96,,12,critical,education,2012,,7 years,4,,none,2 months,other,61,none,own,1,0,1,,yes,skilled employee,female,96
97,126.0,18,repaid,business,2622,120.0,2 years,4,single,none,10 years,other,34,none,own,1,0,1,,yes,skilled employee,male,97
99,152.0,20,delayed,car (used),7057,,7 years,3,single,none,20 years,building society savings,36,bank,rent,2,0,2,2340595870.0,yes,mangement self-employed,male,99
100,,24,repaid,car (new),1469,355.0,12 years,4,married,none,23 years,real estate,41,none,rent,1,0,1,,yes,unskilled resident,male,100
101,41.0,36,repaid,radio/tv,2323,44.0,5 years,4,single,none,23 years,other,24,none,rent,1,0,1,,yes,skilled employee,male,101
102,,6,delayed,radio/tv,932,84.0,2 years,3,,none,4 months,real estate,24,none,own,1,0,1,,yes,skilled employee,female,102
103,195.0,9,critical,furniture,1919,60.0,5 years,4,single,none,3 years,other,35,none,rent,1,0,1,2349472882.0,yes,skilled employee,male,103
104,,12,repaid,car (used),2445,,3 months,2,married,none,5 years,other,26,none,rent,1,0,1,2342963285.0,yes,skilled employee,male,104
106,,18,fully repaid this bank,car (new),6458,51.0,13 years,2,single,none,24 years,unknown/none,39,bank,own,2,1,2,2346069513.0,yes,mangement self-employed,male,106
107,115.0,12,repaid,car (new),6078,66.0,6 years,2,single,none,8 months,other,32,none,own,1,0,1,,yes,skilled employee,male,107
108,-27.0,24,repaid,furniture,7721,,2 months,1,,none,11 months,building society savings,30,none,own,1,0,1,2347727486.0,no,skilled employee,female,108
109,135.0,14,repaid,business,1410,999.0,14 years,1,married,none,5 months,real estate,35,none,own,1,0,1,2343293474.0,yes,skilled employee,male,109
114,-21.0,12,repaid,radio/tv,1680,841.0,12 years,3,married,none,,real estate,35,none,own,1,0,1,,yes,skilled employee,male,114
115,,48,critical,radio/tv,3578,,11 years,4,single,none,,real estate,47,none,own,1,0,1,2341371354.0,yes,skilled employee,male,115
117,-31.0,10,critical,furniture,2132,,7 months,2,,co-applicant,2 years,real estate,27,none,rent,2,0,1,,no,skilled employee,female,117
118,-28.0,33,critical,furniture,4281,670.0,1 years,1,,none,12 years,other,23,none,own,2,1,1,,yes,skilled employee,female,118
119,180.0,12,critical,car (new),2366,512.0,7 years,3,divorced,none,4 years,other,36,none,own,1,0,1,2340616159.0,yes,mangement self-employed,male,119
121,,24,critical,car (used),3868,38.0,19 years,4,,none,9 months,other,41,none,rent,2,0,1,2341212960.0,yes,mangement self-employed,female,121
122,,12,repaid,furniture,1768,58.0,3 years,3,single,none,9 months,real estate,24,none,rent,1,0,1,,yes,unskilled resident,male,122
123,771.0,10,critical,car (new),781,56.0,19 years,4,single,none,18 years,unknown/none,63,none,for free,2,0,1,2348955918.0,yes,skilled employee,male,123
124,62.0,18,repaid,furniture,1924,,0 months,4,,none,2 years,real estate,27,none,rent,1,1,1,,yes,skilled employee,female,124
125,-1.0,12,critical,car (new),2121,49.0,1 years,4,single,none,3 months,building society savings,30,none,own,2,0,1,,yes,skilled employee,male,125
126,-18.0,12,repaid,radio/tv,701,16.0,1 years,4,married,none,8 months,real estate,40,none,own,1,0,1,,yes,unskilled resident,male,126
127,175.0,12,repaid,repairs,639,26.0,3 years,4,single,none,6 months,other,30,none,own,1,1,1,,yes,skilled employee,male,127
128,33.0,12,critical,car (used),1860,54.0,,4,single,none,1 months,other,34,none,own,2,0,1,2349270250.0,yes,mangement self-employed,male,128
129,-23.0,12,critical,car (new),3499,19.0,3 years,3,,co-applicant,2 months,real estate,29,none,own,2,1,1,,yes,skilled employee,female,129
132,,15,repaid,furniture,2708,94.0,3 months,2,single,none,2 years,building society savings,27,bank,own,2,0,1,,yes,unskilled resident,male,132
133,,18,repaid,furniture,1984,31.0,1 years,4,single,none,14 years,unknown/none,47,bank,for free,2,0,1,,yes,skilled employee,male,133
134,,60,repaid,radio/tv,10144,445.0,4 years,2,,none,11 years,real estate,21,none,own,1,0,1,2348130491.0,yes,skilled employee,female,134
135,,12,critical,radio/tv,1240,,16 years,4,,none,6 months,real estate,38,none,own,2,0,1,2343035942.0,yes,skilled employee,female,135
136,,27,delayed,car (used),8613,18077.0,1 years,2,single,none,1 months,other,27,none,own,2,0,1,,yes,skilled employee,male,136
137,43.0,12,repaid,radio/tv,766,909.0,1 years,4,single,none,2 years,real estate,66,none,own,1,1,1,,yes,unskilled resident,male,137
140,881.0,6,repaid,car (new),709,12048.0,6 months,2,married,none,5 months,real estate,27,none,own,1,0,1,,no,unemployed non-resident,male,140
141,67.0,36,repaid,radio/tv,4795,51.0,9 months,4,,none,,unknown/none,30,none,own,1,0,1,2347963787.0,yes,mangement self-employed,female,141
142,-39.0,27,repaid,radio/tv,3416,35.0,3 years,3,single,none,8 months,other,27,none,own,1,0,1,,yes,mangement self-employed,male,142
143,-15.0,18,repaid,furniture,2462,18.0,2 years,2,single,none,4 months,other,22,none,own,1,1,1,,yes,skilled employee,male,143
144,,21,critical,furniture,2288,2.0,6 months,4,,none,21 years,building society savings,23,none,own,1,0,1,2348021683.0,yes,skilled employee,female,144
145,40.0,48,fully repaid this bank,business,3566,416.0,7 years,4,single,none,0 months,other,30,none,own,1,0,1,,yes,skilled employee,male,145
146,-19.0,6,critical,car (new),860,80.0,14 years,1,,none,18 years,unknown/none,39,none,own,2,0,1,2343972993.0,yes,skilled employee,female,146
149,,18,critical,radio/tv,1582,2657.0,13 years,4,single,none,11 years,other,46,none,own,2,0,1,,yes,skilled employee,male,149
150,,6,repaid,radio/tv,1346,385.0,16 years,2,single,none,17 years,unknown/none,42,bank,for free,1,0,2,2348879852.0,yes,skilled employee,male,150
151,,10,repaid,radio/tv,1924,5.0,2 years,1,single,none,22 years,building society savings,38,none,own,1,0,1,2343704356.0,no,skilled employee,male,151
153,177.0,24,critical,car (used),7758,12300.0,18 years,2,,none,7 years,unknown/none,29,none,rent,1,0,1,,yes,skilled employee,female,153
155,-45.0,12,repaid,furniture,1282,66.0,2 years,2,,none,20 years,other,20,none,rent,1,1,1,,yes,skilled employee,female,155
156,-48.0,9,critical,repairs,1288,314.0,11 years,3,single,guarantor,24 years,real estate,48,none,own,2,0,2,,no,skilled employee,male,156
160,,24,critical,radio/tv,2872,281.0,15 years,3,single,none,18 years,real estate,36,none,own,1,0,2,2345158791.0,yes,skilled employee,male,160
161,,18,critical,car (new),1055,15.0,2 months,4,,none,,building society savings,30,none,own,2,0,1,,yes,skilled employee,female,161
162,,15,repaid,domestic appliances,1262,686.0,4 years,4,single,none,2 years,building society savings,36,none,own,2,0,1,2342300177.0,yes,skilled employee,male,162
163,196.0,10,repaid,car (new),7308,30.0,,2,single,none,24 years,unknown/none,70,bank,for free,1,0,1,2349246054.0,yes,mangement self-employed,male,163
165,,6,repaid,furniture,2978,958.0,2 years,1,single,none,8 months,other,32,none,own,1,0,1,2343583711.0,yes,skilled employee,male,165
167,172.0,11,repaid,furniture,1577,19835.0,9 months,4,,none,,real estate,20,none,own,1,0,1,,yes,skilled employee,female,167
168,,24,repaid,furniture,3972,51.0,4 years,2,,none,16 years,building society savings,25,none,rent,1,0,1,2341180005.0,yes,skilled employee,female,168
169,78.0,24,critical,business,1935,90.0,19 years,4,divorced,none,15 years,real estate,31,none,own,2,1,1,2340394461.0,yes,skilled employee,male,169
170,-29.0,15,fully repaid,car (new),950,38.0,7 years,4,single,none,4 years,other,33,none,rent,2,1,2,,yes,skilled employee,male,170
171,,12,repaid,furniture,763,89.0,3 years,4,,none,,real estate,26,none,own,1,0,1,2346731504.0,yes,skilled employee,female,171
172,109.0,24,delayed,furniture,2064,28.0,,3,,none,11 months,building society savings,34,none,own,1,1,1,2343022760.0,yes,mangement self-employed,female,172
173,75.0,8,repaid,radio/tv,1414,88.0,3 years,4,single,guarantor,3 months,real estate,33,none,own,1,0,1,,no,skilled employee,male,173
175,,30,fully repaid this bank,car (used),7485,,,4,,none,,real estate,53,bank,own,1,1,1,2340939307.0,yes,mangement self-employed,female,175
176,-5.0,12,repaid,furniture,2577,14.0,2 years,2,divorced,none,,other,42,none,own,1,0,1,,yes,skilled employee,male,176
177,-37.0,6,critical,radio/tv,338,838.0,19 years,4,single,none,14 years,other,52,none,own,2,0,1,,yes,skilled employee,male,177
178,,12,repaid,radio/tv,1963,90.0,4 years,4,single,none,2 months,other,31,none,rent,2,0,2,2341056264.0,yes,mangement self-employed,male,178
179,-49.0,21,critical,car (new),571,59.0,9 years,4,single,none,10 years,real estate,65,none,own,2,0,1,,yes,skilled employee,male,179
180,,36,delayed,business,9572,5.0,9 months,1,divorced,none,,other,28,none,own,2,1,1,,yes,skilled employee,male,180
181,1.0,36,delayed,business,4455,30.0,1 years,2,divorced,none,10 months,real estate,30,stores,own,2,1,1,2349833593.0,yes,mangement self-employed,male,181
182,-42.0,21,fully repaid this bank,car (new),1647,,1 years,4,single,none,3 months,building society savings,40,none,own,2,1,2,,yes,unskilled resident,male,182
184,72.0,18,critical,car (new),884,13.0,7 years,4,single,none,10 years,other,36,bank,own,1,1,2,2349334908.0,yes,skilled employee,male,184
185,,15,critical,radio/tv,1360,24.0,1 years,4,single,none,2 months,building society savings,31,none,own,2,0,1,,yes,skilled employee,male,185
187,57.0,16,critical,car (new),1175,83.0,,2,single,none,2 years,other,68,none,for free,3,0,1,2346796980.0,yes,unemployed non-resident,male,187
188,-18.0,12,repaid,radio/tv,674,311.0,5 years,4,married,none,,building society savings,20,none,own,1,1,1,,yes,skilled employee,male,188
190,,24,repaid,business,4591,18484.0,1 years,2,single,none,3 years,building society savings,54,none,own,3,1,1,2347269245.0,yes,mangement self-employed,male,190
191,39.0,48,fully repaid,business,3844,289.0,4 years,4,single,none,10 years,unknown/none,34,none,for free,1,1,2,,yes,unskilled resident,male,191
192,130.0,27,repaid,business,3915,18.0,1 years,4,single,none,8 months,other,36,none,own,1,1,2,2346300855.0,yes,skilled employee,male,192
193,,6,repaid,radio/tv,2108,42.0,7 years,2,married,none,0 months,real estate,29,none,rent,1,0,1,,yes,skilled employee,male,193
194,156.0,45,repaid,radio/tv,3031,331.0,2 years,4,single,guarantor,11 years,building society savings,21,none,rent,1,1,1,,yes,skilled employee,male,194
195,97.0,9,critical,education,1501,78.0,18 years,2,,none,2 years,other,34,none,own,2,1,1,2348664576.0,yes,mangement self-employed,female,195
196,,6,critical,radio/tv,1382,16.0,2 years,1,,none,,other,28,none,own,2,0,1,2346009677.0,yes,skilled employee,female,196
197,63.0,12,repaid,furniture,951,416.0,7 months,4,,none,11 years,other,27,bank,rent,4,1,1,,yes,skilled employee,female,197
198,130.0,24,repaid,car (used),2760,,16 years,4,single,none,11 years,unknown/none,36,bank,for free,1,0,1,2344174930.0,yes,skilled employee,male,198
199,132.0,18,delayed,furniture,4297,64.0,19 years,4,divorced,none,1 years,unknown/none,40,none,own,1,1,1,2340379129.0,yes,mangement self-employed,male,199
201,-1.0,12,repaid,car (new),1168,66.0,3 years,4,married,none,2 years,real estate,27,none,own,1,0,1,,yes,unskilled resident,male,201
202,,27,delayed,business,5117,33.0,4 years,3,single,none,13 years,other,26,none,own,2,0,1,,yes,skilled employee,male,202
204,,12,critical,car (new),1495,13.0,18 years,4,single,none,,real estate,38,none,own,2,0,2,,yes,unskilled resident,male,204
205,-26.0,30,critical,car (used),10623,26.0,11 years,3,single,none,5 years,unknown/none,38,none,for free,3,0,2,2341905182.0,yes,mangement self-employed,male,205
209,,12,repaid,car (used),1413,9708.0,5 years,3,single,none,2 months,building society savings,55,none,own,1,0,1,,no,skilled employee,male,209
210,,9,critical,radio/tv,3074,,3 years,1,single,none,7 months,real estate,33,none,own,2,0,2,,yes,skilled employee,male,210
211,,36,repaid,radio/tv,3835,,18 years,2,,none,9 years,real estate,45,none,own,1,0,1,2341959393.0,yes,unskilled resident,female,211
213,392.0,30,delayed,business,1908,41.0,8 years,4,single,none,18 years,real estate,66,none,own,1,1,1,2340694718.0,yes,mangement self-employed,male,213
215,41.0,6,critical,retraining,932,,5 years,1,,none,1 years,building society savings,39,none,own,2,0,1,,yes,unskilled resident,female,215
216,-8.0,18,fully repaid,business,3104,81.0,7 years,3,single,none,,building society savings,31,bank,own,1,0,1,2344571612.0,yes,skilled employee,male,216
217,927.0,36,repaid,radio/tv,3913,71.0,1 years,2,single,none,10 months,real estate,23,none,own,1,0,1,2346516970.0,yes,skilled employee,male,217
219,,10,repaid,car (new),1364,53.0,3 years,2,,none,6 years,other,64,none,own,1,0,1,2342554578.0,yes,skilled employee,female,219
221,-5.0,12,repaid,education,1200,,3 years,4,,none,14 years,building society savings,23,bank,rent,1,0,1,2342538766.0,yes,skilled employee,female,221
222,,12,repaid,radio/tv,707,15.0,2 years,4,single,none,1 months,real estate,30,bank,own,2,0,1,,yes,skilled employee,male,222
223,,24,delayed,business,2978,,2 years,4,single,none,16 years,real estate,32,none,own,2,0,2,2345883868.0,yes,skilled employee,male,223
224,,15,repaid,car (used),4657,12.0,1 years,3,single,none,4 months,other,30,none,own,1,0,1,2346005084.0,yes,skilled employee,male,224
226,36.0,48,repaid,radio/tv,10961,2839.0,5 years,1,single,co-applicant,4 months,unknown/none,27,bank,own,2,1,1,2348625391.0,yes,skilled employee,male,226
227,-13.0,12,repaid,furniture,7865,51.0,16 years,4,single,none,21 years,unknown/none,53,none,for free,1,1,1,2349919504.0,yes,mangement self-employed,male,227
228,,9,repaid,radio/tv,1478,78.0,7 years,4,single,none,11 months,other,22,none,own,1,1,1,,yes,skilled employee,male,228
230,753.0,36,repaid,radio/tv,4210,26.0,3 years,4,single,none,0 months,other,26,none,own,1,1,1,,yes,skilled employee,male,230
231,,9,repaid,car (new),2507,896.0,7 years,2,single,none,23 years,unknown/none,51,none,for free,1,0,1,,yes,unskilled resident,male,231
232,,12,repaid,radio/tv,2141,406.0,6 years,3,single,none,,unknown/none,35,none,own,1,0,1,,yes,skilled employee,male,232
234,,4,critical,radio/tv,1544,99.0,5 years,2,single,none,,real estate,42,none,own,3,0,2,,yes,unskilled resident,male,234
235,-34.0,24,repaid,radio/tv,1823,54.0,,4,single,none,10 months,other,30,stores,own,1,1,2,,yes,mangement self-employed,male,235
237,122.0,21,repaid,business,2767,413.0,11 years,4,divorced,none,6 months,other,61,bank,rent,2,1,1,,yes,unskilled resident,male,237
238,,12,critical,radio/tv,1291,90.0,3 years,4,,none,0 months,building society savings,35,none,own,2,0,1,,yes,skilled employee,female,238
239,-42.0,30,repaid,radio/tv,2522,94.0,8 years,1,single,guarantor,1 years,building society savings,39,none,own,1,0,2,,yes,skilled employee,male,239
240,-12.0,24,repaid,car (new),915,,17 years,4,,none,11 months,other,29,bank,own,1,1,1,,yes,skilled employee,female,240
241,,6,repaid,radio/tv,1595,25.0,6 years,3,single,none,8 months,building society savings,51,none,own,1,0,2,,yes,skilled employee,male,241
243,,12,critical,business,1185,65.0,2 years,3,,none,2 months,real estate,27,none,own,2,0,1,,yes,skilled employee,female,243
245,,24,repaid,business,1258,8.0,4 years,4,single,none,,real estate,25,none,own,1,0,1,2349190990.0,yes,skilled employee,male,245
246,,12,critical,radio/tv,717,8.0,10 years,4,single,none,9 years,real estate,52,none,own,3,0,1,,yes,skilled employee,male,246
247,,6,fully repaid,car (new),1204,492.0,2 years,4,single,none,,unknown/none,35,bank,rent,1,0,1,,no,skilled employee,male,247
249,,18,repaid,radio/tv,433,70.0,,3,,co-applicant,10 years,real estate,22,none,rent,1,1,1,,yes,skilled employee,female,249
250,-47.0,6,critical,car (new),666,8063.0,5 years,3,,none,8 years,real estate,39,none,own,2,0,1,2345293311.0,yes,unskilled resident,female,250
252,157.0,30,repaid,car (new),2150,21.0,1 years,4,,guarantor,0 months,unknown/none,24,bank,own,1,1,1,,yes,skilled employee,female,252
253,,24,delayed,furniture,4151,472.0,2 years,2,single,none,4 years,building society savings,35,none,own,2,0,1,,yes,skilled employee,male,253
254,82.0,9,repaid,furniture,2030,,6 years,2,single,none,,other,24,none,own,1,0,1,2341648240.0,yes,skilled employee,male,254
255,100.0,60,delayed,radio/tv,7418,,3 years,1,single,none,,real estate,27,none,own,1,0,1,,yes,unskilled resident,male,255
256,,24,critical,radio/tv,2684,40.0,3 years,4,single,none,4 months,real estate,35,none,own,2,0,1,,yes,unskilled resident,male,256
257,-27.0,12,fully repaid this bank,radio/tv,2149,49.0,1 years,4,divorced,none,,unknown/none,29,none,for free,1,1,1,,yes,skilled employee,male,257
258,,15,repaid,car (used),3812,276.0,6 months,1,,none,10 years,other,23,none,own,1,0,1,2346114092.0,yes,skilled employee,female,258
259,,11,critical,radio/tv,1154,318.0,,4,,none,15 years,real estate,57,none,own,3,0,1,,yes,unskilled resident,female,259
260,-24.0,12,repaid,furniture,1657,40.0,3 years,2,single,none,1 months,real estate,27,none,own,1,0,1,,yes,skilled employee,male,260
262,-40.0,18,critical,car (new),5302,93.0,7 years,2,single,none,18 years,unknown/none,36,none,for free,3,0,1,2340182026.0,yes,mangement self-employed,male,262
263,,12,critical,education,2748,44.0,14 years,2,,none,8 years,unknown/none,57,bank,for free,3,0,1,,yes,unskilled resident,female,263
264,,10,critical,car (new),1231,32.0,7 years,3,single,none,10 years,real estate,32,none,own,2,0,2,,no,unskilled resident,male,264
